Büfe Adı,İlçe,Mahalle,Adres,(B)üfe / (S)atış Noktası
TÜRKİ BİNGÖL-ORTAÇEŞME BÜFE,BEYKOZ,ORTAÇEŞME,ORTA ÇEŞME MAH.ORTA ÇEŞME OTOBÜS DURAK,B
YASİN KIR - KAVACIK ÇİFTLİK BÜFE,BEYKOZ,KAVACIK,GÖKSU MAH. MUHTARLIK ÇIK. NO:9/1 BEYKOZ,B
ENSAR GIDA,BEYKOZ,ÇUBUKLU MAH.,ÇUBUKLU MAH.ENGÜRÜ BAĞI CD.NO 18,S
HALİS KURUYEMİŞ,BEYKOZ,ÇUBUKLU MAH.,ÇUBUKLU MAH.NAZIMTUR CD NO 54,S
İSLAMOĞLU GIDA,BEYKOZ,TOKATKÖY MAH,TOKATKÖY MAH.AZİZ CD.NO 29 KARTAL,S
KAHRAMAN MİNİ MARKET,BEYKOZ,GÜMÜŞSUYU MAH.,GÜMÜŞSUYU MAH. ÇEŞMİBÜLBÜL SOKAK NO:34,S
ONÇEŞME GIDA,BEYKOZ,MERKEZ MAH.,ŞAHİNKAYA CD.FEVZİPAŞA CD.NO 1 A,S
YENİ MAHALLE UNLU MAM.,BEYKOZ,YENİ MAHALLE,DR.ÖMER BESİMPAŞA CAD.,S
Adnan Kahveci 1 büfe,BEYLİKDÜZÜ,Adnan Kahveci mah.,Yavuz sultan selim bulvarı mavikent iett durağı yanı,B
Adnan Kahveci 2 büfe,BEYLİKDÜZÜ,Adnan Kahveci mah.,osmanlı cd ile konak cd kesişimi,B
Adnan Kahveci 3 büfe,BEYLİKDÜZÜ,Adnan Kahveci mah.,Yavuz sultan selim bulvarı çiçek bahçe iett durağı yanı,B
ADNAN KAHVECİ 4 BÜFE,BEYLİKDÜZÜ,ADNAN KAHVECİ,ADNAN KAHVECİ MAH.ÇAMLITEPE CAD.ÇAMLIK SİT.YANI,B
Beylikdüzü 1,BEYLİKDÜZÜ,Büyükşehir mah.,Büyükşehir mh. Cumhuriyet cd.Onur market karşısı,B
Beylikdüzü 2,BEYLİKDÜZÜ,Barış mah.,kıbrıs cd iel zafer cd kesişimi haydar aslan i.ö.okulu önü,B
Beylikdüzü Büyükşehir Büfe,BEYLİKDÜZÜ,Büyükşehir mah.,19 MAYIS CD GONCA SK.,B
Beylikdüzü Cumhuriyet Büfe,BEYLİKDÜZÜ,Cumhuriyat mah.,Atatürk bulvarı,B
Beylikdüzü Çiftlik Büfe,BEYLİKDÜZÜ,Barış mah.,Megakent 5.sk,B
Gürpınar büfe,BEYLİKDÜZÜ,Gürpınar Merkez,Gürpınar cd no 60/1 muhtarlık yanı,B
İhlas Marmara Büfe,BEYLİKDÜZÜ,Kavaklı mah.,Yeşilyurt cd. Yaşar cimilli camii yanı,B
Yakuplu 1 Büfe,BEYLİKDÜZÜ,Yakuplu mah.,"Hürriyet bulvarı,liman taksi durağı karşısı",B
Yakuplu 2 Büfe,BEYLİKDÜZÜ,Yakuplu mah.,Kanuni cd 125. yıl imam hatip lisesi yanı,B
ADİL GIDA,BEYLİKDÜZÜ,ADNAN KAHVECİ MAH.,ADNAN KAHVECİ MAH OSMANLI CAD ONUR PALZA KARŞISI,S
DOĞALİSTAN SATIŞ .NOKTASI,BEYLİKDÜZÜ,,İHLAS MARMARA EVLERİ 1 KISIM.ÇARŞISI NO 56,S
EGELİ MARKET,BEYLİKDÜZÜ,GÜRPINAR,KEMAL PAŞA CD NO 18,S
EYKA UNLU MAM. GIDA,BEYLİKDÜZÜ,YAKUPLU MAH,23.SK NO 23,S
GÜVEN AL MARKET,BEYLİKDÜZÜ,YAKUPLU MAH.,ÖZAL CD. 60.SKNO 20,S
KAPTAN GIDA,BEYLİKDÜZÜ,ADNAN KAHVECİ MAH,ADNAN KAHVECİ MAH MİMARSİNAN CAD GÜLAY SK NO:9/19,S
CEMAL KAMACI BÜFE (E),BEYOĞLU,Fetihtepe mah.,FEVZİ ÇAKMAK CAD.FETİHTEPE CAMİİ KAR,B
ÇIKSALIN BÜFE (E),BEYOĞLU,Halıcıoğlu mah,ŞAN SOK.İ.E.T.T.DURAK YANI,B
KALAYCIBAHÇE BÜFE (E),BEYOĞLU,Piri paşa mah.,Şabanderesi sk ile taşkesen sk kesişimi,B
PİYALEPAŞA BÜFE (E),BEYOĞLU,Piyalepaşa mah.,Piyalepaşa Cad. Sultan Sk.,B
RIHTIM BÜFE (E),BEYOĞLU,,KARAKÖY RIHTIM CAD.PARK İÇİ.,B
SÜTLÜCE BÜFE,BEYOĞLU,SÜTLÜCE,İMRAHOR CD.ATMACA SK. GİRİŞİ,B
TAKSİM İLYARDIM BÜFE (E),BEYOĞLU,Cihanagir mah.,Sıraselviler cd.Taksim ilkyardım hastane önü,B
TURABİ BÜFE (E),BEYOĞLU,Bedrettin,Dereboyu caddesi,B
AKBAY GIDA (E),BEYOĞLU,KADIMEHMET MAH.,KADIMEHMET CAD. 78/2,S
ALİ İHSAN AKSOY-BAYİ (E),BEYOĞLU,KEÇECİ PİRİ MAH.,OKMEYDANI CAD. NO:90 A HASKÖY,S
DOĞAN AYDENİZ-BAYİ (E),BEYOĞLU,KADIMEHMET EFENDİ MAH.,İBADULLAH SOK. NO:17 A,S
EDİP NURİ BİLGİÇ-BAYİ (E),BEYOĞLU,KAPTANPAŞA MAH,KULAKSIZ CAD. NO:144,S
ENSAR MARKET (E),BEYOĞLU,KAPTANPAŞA MAH.,YAYA GEÇİDİ SK.NO:6/C-1 BEYOĞLU,S
HALICIOĞLU GIDA (E),BEYOĞLU,,HALICIOĞLU İ.E.T.T.DURAK ARKASI.,S
TÜVLEVA MARKET (E),BEYOĞLU,KEÇECİ PİRİ MAH.,TOYGAR SOK.NO:28/B,S
BATIKÖY BÜFE,BÜYÜKÇEKMECE,BATIKÖY MAH.,BATIKÖY MAH.ÇARMIKLI CD. TEKZEN KARŞISI,B
ÇAKMAKLI BÜFE,BÜYÜKÇEKMECE,ÇAKMAKLI MAH.,ÇAKMAKLI MAH. HADIMKÖY YOLU METRO MARKET YANI.,B
KİPTAŞ TEPECİK BÜFE,BÜYÜKÇEKMECE,TÜRKOBA MAH.,KOOPERATİFLER CD.25/4,B
KUMBURGAZ BÜFE,BÜYÜKÇEKMECE,KUMBURGAZ,KUMBURGAZ MARKEZ MAH.SİLİVRİ CD NO 1,B
Tepecik,BÜYÜKÇEKMECE,Hürriyet,Hürriyet mh.atatürk cd.no:63,B
CELALİYE GIDA,BÜYÜKÇEKMECE,CELALİYE MAH.,ULUDERE CD. NO 18,S
MİMAROBA GIDA,BÜYÜKÇEKMECE,MİMARSİNAN MAH.,ARMAĞAN SK. KÖŞE BAŞI,S
MURAT SAT.NOK.,BÜYÜKÇEKMECE,FATİH MAH,ERDİNÇ ÜSTÜN SK.,S
PALMİYE UNLU MAMÜLLERİ,BÜYÜKÇEKMECE,CUMHURİYET MAH.,KEMENDERE CD.6/35,S
SEÇ MARKET,BÜYÜKÇEKMECE,CUMHURİYET MAH,CUMHURİYET MAH ŞİMŞEK SK NO:167 BÜYÜKÇEKMECE,S
SEHER GIDA,BÜYÜKÇEKMECE,HÜRRİYET MAH.,FEVZİPAŞA CAD. NO:19-A B.ÇEKMECE,S
UMUT GIDA,BÜYÜKÇEKMECE,MURATÇEŞME MAH.,KUBİLAY CD.AKKENT SİT NO 12 / A,S
Çatalca Büfe,ÇATALCA,Ferhatpaşa mah.,Karadeniz cd. Çatalca kaymakamlığı yanı,B
AHMET SEYFİ SOFUOĞLU-Ç.KÖY MİMARSİNAN,ÇEKMEKÖY,MİMARSİNAN,MİMAR SİNAN CAD.OKUL SOK.REFAH CAMİİ YANI,B
FİKRET ÖLMEZ-Ç.KÖY BARIŞYOLU,ÇEKMEKÖY,HAMİDİYE,HAMİDİYE MAH.BARIŞ YOLU CAD.ÖĞRETMENLER SİTE İETT DURAK YANI,B
HALİL EKŞİ-KIBRIS BÜFE,ÇEKMEKÖY,GÜNGÖREN,GÜNGÖREN MAH.KIBRIS CAD. R.MİHRİBAN BEDESTEN,B
MURAT BAĞDATLI-TAŞDELEN 19 MAYIS,ÇEKMEKÖY,SULTANÇİFTLİĞİ,TAŞDELEN ATATÜRK CAD. 19 MAYIS CAD. KESİŞİMİ SULTAN ÇİFTLİĞİ İ.Ö.O ÖNÜ,B
ORHAN ARSLAN - SAİD-İ NURSİ BÜFE,ÇEKMEKÖY,HAMİDİYE,HAMİDİYE MAH.ULUBATLI HASAN CAD.PARADİSE SİTESİ,B
OYA IRMAK - SOĞUKPINAR BÜFE,ÇEKMEKÖY,SOĞUKPINAR,SOĞUKPINAR MAH.PAŞAZADE SOK. NO:28,B
SONGÜL ÇAKIR-DEMOKRASİ BÜFE,ÇEKMEKÖY,AYDINLAR,AYDINLAR MAH.SULTANGAZİ CAD. NO:69/1,B
ÇAMLIK ÖZEL MAH.,ÇEKMEKÖY,ÇAMLIK MAH.,ÇAMLIK MAH.PARLAR CAD. NO.26.A/1,S
İMAMOĞLU GIDA,ÇEKMEKÖY,M.AKİF MAH.,M.AKİF MAH. ÇOŞKUN SK.NO 11 B 2,S
KARAGÖZ GIDA,ÇEKMEKÖY,MERKEZ,MERKEZ MAH. KEÇİAĞILI CAD.NO:29/1,S
KISMET GIDA,ÇEKMEKÖY,HAMİDİYE MAH.,HAMİDİYE MAH.BAŞ ÖĞRETMEN CAD. NO.82/A,S
KÖŞEM GIDA,ÇEKMEKÖY,M.AKİF MAH.,M.AKİF MAH. ZEMBİL SOK. NO.14/A,S
ŞAHİN MARKET,ÇEKMEKÖY,M AKİF MAH,M.AKİF MAH.CUMHURİYET CD.COŞKUN SK.NO 17,S
VURALKENT ÖZEL BÜFE,ÇEKMEKÖY,MİMARSİNAN MAH.,MİMARSİNAN MAH.MİMARSİNAN CAD. VURALKENT SİTESİ,S
YILDIZ GIDA,ÇEKMEKÖY,KİRAZLIDERE MAH.,KİRAZLIDERE MAH.F.ÇAKMAK CAD OYA SOK NO.14,S
BİNGÖL BÜFE,ESENLER,TURGUT REİS MAH.,489.SOK.NO:23,B
ÇİNÇİNDERESİ BÜFE,ESENLER,T.REİS MAH.,455 SOK.,B
DAŞDEMİR BÜFE (E),ESENLER,Menderes,328 sokak menderes ortaokulu önü,B
DÖRTYOL BÜFE (E),ESENLER,Nine Hatun,kemal hatipoğlu caddesi dr. kadir topbaş kültür merkezi karşısı,B
ESENLER UMUT BÜFE,ESENLER,TURGUT REİS MAH.,ÇENGEL CAD.NO:28,B
HACILAR BÜFE (E),ESENLER,Kemer,901. sokak,B
HAKKI BAŞAR BÜFE (E),ESENLER,Tuna,273. sokak hakkı başar spor kompleksi yanı,B
KARABAYIR BÜFE (E),ESENLER,Karabayır,şht. cengiz karcıoğlu caddesi ile tuna caddesi kesişimi,B
MENDERES BÜFE (E),ESENLER,Kazım Karabekir,Endülüs caddesi ile 833 sokak kesişimi kazım karabekir mahalle muhtarlığı önü,B
MURAT BÜFE (E),ESENLER,Havaalanı,Gözlem sokak,B
SARI BÜFE (E),ESENLER,Havaalanı,Ferman caddesi uhud camii önü,B
TOLGA BÜFE (E),ESENLER,Davutpaşa,45.sokak no:6 esenler mesleki ve teknik anadolu lisesi yanı,B
TURGUT REİS BÜFE,ESENLER,TURGUT REİS MAH.,OKUL CAMİ SOK.İ.PAŞA İLKÖĞRETİM OKULU ARKASI,B
TURGUT REİS CAMİİ BÜFE,ESENLER,HAVAALANI MAH.,ANADOLU CAD.NO:108,B
VATANDAŞ BÜFE (E),ESENLER,Kemer,913 sokak,B
YETMİŞİKİ BÜFE (E),ESENLER,Fatih,aksaray caddsei müslüm duraş camii karşısı,B
YÜZYIL BÜFE,ESENLER,,KARADENİZ CAD.NO:33 ESGEV BİNASI YANI,B
AHSEN REYYAN UNLU MAM.,ESENLER,100.MAH,2211 SK NO 93,S
AYDAŞLAR GIDA,ESENLER,ORUÇ REİS MAH,TEPE CD NO 34,S
BAŞAK MARKET,ESENLER,,ORUÇREİS MAH.TOPTAŞ SOK.NO:3,S
BAYRAMLAR GIDA (E),ESENLER,DAVUTPAŞA MAH.,ATATÜRK CAD.NO:38,S
BERKE GIDA (E),ESENLER,BİRLİH MAH.,865 SOK.NO:32/A ESENLER/İSTANBUL,S
ESENLER SON DURAK GIDA (E),ESENLER,K.KARABEKİR MAH.,M.AKİF ERSOY CAD.NO:14/C,S
GÜN ÇEREZ MARKET,ESENLER,T.REİS MAH.,ŞEHİT ALİ KARAHAN CD.116 A,S
HALİL GÜNER (E),ESENLER,,NENEHATUN MAH.2.CAD.NO : 19,S
HALİL GÜNER GIDA (E),ESENLER,NENE HATUN MAH.,2.CAD.NO : 19,S
HAS GIDA (E),ESENLER,HAVAALANI MAH.,GARANTİ CAD.NO:22/3,S
KARAKAYA GIDA (E),ESENLER,BİRLİK MAH.,"KAZIM KARABEKİR CD,KAZIM KARABEKİR İMAM HATİP KARŞISI",S
KURUÇAY GIDA (E),ESENLER,NENE HATUN MAH.,HORASAN CD NO 3,S
MAHMUTBEY GIDA (E),ESENLER,TUNA MH.,MAHMUTBEY CD.NO.2 GAZİ,S
MULHAN MARKET,ESENLER,100.YIL MAH,KIŞLA CD 2159 SK NO 70,S
NİHAT BAYRAMLAR - BAYİİ (E),ESENLER,DAVUTPAŞA MAH.,ATATÜRK CAD.NO:38,S
OSMANLI GIDA (E),ESENLER,MENDERES MAH.,312 SOK.11/A ESENLER/İSTANBUL,S
SAYILGAN MARKET,ESENLER,,ORUÇ REİS MAH.AYDIN CAD.596.SOK.NO:2,S
SERCAN GIDA (E),ESENLER,NENE HATUN MAH.,7. CAD. NO:13/A ESENLER/İSTANBUL,S
TAŞKIN GIDA,ESENLER,,ORUÇREİS MAH.ALBAYRAK CAD.NO:5,S
UYUMLU MARKET,ESENLER,T.REİS MAH,Ş.ALİ KARAHAN CAD.NO:58/A,S
YAKUP GIDA (E),ESENLER,DAVUTPAŞA MAH,65.SOK.NO:28/3,S
YILDIRIM GIDA (E),ESENLER,KAZIM KARABEKİR MAH,1056 SOK.NO:37/A,S
YÜKSEL GIDA (E),ESENLER,BİRLİK MAH.,KARAOĞLANOĞLU CAD.73 A,S
Abdi İpekçi Büfe,ESENYURT,Nmık kemal mah.,Abdi ipekçi cd no 51/A,B
Bağlarçeşme,ESENYURT,Esenyurt Merkez,Örnek mh.köprü sk.no:25,B
Beylikdüzü Beko Metrobüs Büfe,ESENYURT,Cumhuriyet MAH.,E 5 karayolu beko hadımköy metrobüs üst geşit altı,B
Beylikdüzü Metrobüs Büfe,ESENYURT,Cumhuriyat mah.,E 5 karayolu iett tatiya durağı marmara park önü,B
Esenkent 2 Büfe,ESENYURT,Esenkent mah.,Talatpaşa cd yeşilırmak sk köşesi,B
Esenkent Büfe,ESENYURT,Esenkent mah.,Süleyman Demirel cd. Rırat ılgaz Tiyatrosu karşısı,B
Esenyurt Camii,ESENYURT,Örnek,Ahmet Ali Cad. 1410. Sk. Kesişim Yeri,B
Esenyurt İnönü Büfe,ESENYURT,Yenikent,İnönü mh.balık yolu cd.kız kuran kursu yanı,B
Güzelyurt 1 Büfe,ESENYURT,Güzelyurt mah.,Yıldırım Beyazıt cd.,B
Güzelyurt 2 Büfe,ESENYURT,Güzelyurt,Güzelyurt mah muhtarlık önü,B
Güzelyurt 3 Büfe,ESENYURT,Cumhuriyet mah.,Cumhuriyet cd ile 1993 sk kesişimi park içi,B
İncirtepe 1 Büfe,ESENYURT,İncirtepe mah.,İncirtepe mh. Kemalpaşa cd.no:41,B
İnnovya 1 Büfe,ESENYURT,Cumhuriyat mah.,Cumhuriyet cd.1985 SK no 4 (SGK) karşısı,B
İnnovya 2 Büfe,ESENYURT,Cumhuriyat mah.,İnnovya 1 evleri karşısı,B
Kıraç 1,ESENYURT,Kıraç Merkez,Merkez mh.papatya cd menekşe sk.no:51,B
Kıraç 2,ESENYURT,Kıraç Merkez,Cumhuriyet Cad. Okul Sk.,B
KIRAÇ İSTİKLAL BÜFE,ESENYURT,İSTİKLAL MAH,MEŞRUTİYET CD ESENYURT BLD,B
Mehterçeşme Büfe,ESENYURT,Mehterçeşme mah,Bağdat cd mehterçeşme mah muhtarlığı önü,B
Yenikent 1,ESENYURT,Ardıçlı mah. mah.,Atatürk cd 2968 ada 3 parsel,B
YENİKENT 2 BÜFE,ESENYURT,ARDIÇLI MAH.,ISPARTAKULE CAD.NO:57/ESENYURT,B
AKDAĞ MARKET,ESENYURT,ÖRNEK MH.,1357 SOK NO:24 ESENYURT,S
BİZİM MARKET,ESENYURT,YENİKENT MAH,685 SK NO 7/A,S
DOST EKMEK BAYİİ,ESENYURT,FATİH MAH,947.SK NO6,S
FATİH GIDA,ESENYURT,FATİH MH.,PAZARYOLU CD.RIFAT ILGAZ İ.Ö.OKULU ÖNÜ,S
GÜNDÜZ MARKET,ESENYURT,MEHTERÇEŞME MH.,UFUK CD.1926.SK.NO:10 ESENYURT,S
İNCİRTEPE 2 GIDA,ESENYURT,İNCİRTEPE MAH.,AŞIK MAHSUNİ ŞERİF CAD. 4. ETAP KİPTAŞ KONUTLARI,S
KARAASLAN GIDA,ESENYURT,TURGUT ÖZAL MAH,23.SK NO 2,S
KILIÇ MARKET,ESENYURT,NECİP FAZIL KISAKÜREK MAH.,NECİP FAZIL KISAKÜREK MAH. KILIÇ SK NO:37/A,S
KÖYLÜMM GIDA,ESENYURT,NECİP FAZIL KISAKÜREK MAH.,NECİP FAZIL KISAKÜREK MAH. GAZİ CAD. NO:122/A ESENYURT,S
KÖYLÜMM GIDA,ESENYURT,NECİP FAZIL KISAKÜREK MAH.,NECİP FAZIL KISAKÜREK MAH. GAZİ CAD. NO:122/A ESENYURT,S
LADES UNLU MAM.,ESENYURT,Boğazköy Cd.,Başakşehir Doğa Sit. D Girişi,S
MURAT MARKET,ESENYURT,ATATÜRK MH,YUNUS EMRE CD NO 33,S
OKMAR 2 GIDA,ESENYURT,PINAR MH.,YAŞAR KEMAL CD.1249 SK.NO 40,S
OZANLAR GIDA,ESENYURT,YENİKENT MH.,OZANLAR CD.FAHİR İLKEL İ.Ö.OKULU YANI,S
ÖRNEK 1 GIDA,ESENYURT,ÖRNEK MH,1462 SK NO 16 / A ESENYURT,S
ÖZDEMİR GIDA,ESENYURT,SAADETDERE MAH.,87.SK. NO 24/2,S
RODİ 2 GIDA,ESENYURT,YEŞİLKENT MAH,BALIKYOLU CD NO 62,S
TONGUÇ BABA GIDA,ESENYURT,TURGUT ÖZAL MAH.,TONGUÇ BABA CD. 2618 ADA 7 PARSEL,S
YILDIZ GIDA,ESENYURT,SULTANİYE MAH,656.SK NO 2,S
Akşemsettin Durak,EYÜP,Akşemseddin,Akşemsettin Mah. Cengiztopel Cd. Girişi Park Yanı,B
Alçın,EYÜP,Mimar Sinan Paşa,Kemerburgaz Cengiz Topel Cd.No.42 Kemerburgaz,B
Alibeyköy Büfe,EYÜP,Karadolap,Alibeyköy Merkez Mh. Vardaf Bulvarı,B
BÖLGE PARK BÜFE,EYÜP,Yeşilpınar mah,Çiçeksuyu cd ile budak sk kesişimi,B
ÇİÇEKSUYU BÜFE,EYÜP,,YEŞİLPINAR MAH.ÇOŞKUN SOK.HZ.ALİ CAMİ,B
DİDEM BÜFE,EYÜP,,ÇIRÇIR MAH.KESTANE SOK.,B
EDİRNE KAPI FABRİKA BÜFE (E),EYÜP,Defterdar mah.,Savaklar Cad.,B
ESENTEPE BÜFE (E),EYÜP,Esentepe mah.,Alibeyköy Cad. uçak sk köşesi,B
EYTAŞ KARADOLAP BÜFE,EYÜP,,KARADOLAP MAH.ALİBEYKÖY İLKÖĞRETİM,B
EYÜP MERKEZ BÜFE (E),EYÜP,İslambey mah.,Bağ çıkmazı sk.,B
EYÜP SULTAN BÜFE (E),EYÜP,,TAHTA MİNARE CAD.İ.E.T.T. DURAĞI YANI,B
GİRNE BÜFE,EYÜP,YEŞİLPINAR MAH,GİRNE SK İETT SON DURAK KARŞISI,B
GÜZELTEPE BÜFE,EYÜP,Güzeltepe mah,GÜZELTEPE MAH.ARDIÇ SOK.OTOBÜS DURAĞI,B
GÜZELTEPE MEYDAN BÜFE,EYÜP,güzeltepe mah,AVCI SOK.İ.E.T.T.AMİRLİĞİ,B
KARADOLAP 2 BÜFE,EYÜP,,KARADOLAP MAH.VEYSEL KARANİ CAD.,B
NİŞANCA 2 BÜFE (E),EYÜP,Nişanca MAH.,Nişanca Mustafa Cad.,B
NURTEPE BÜFE,EYÜP,Güzeltepe mah,SOKULLU CAD.A.ETHEM ÖKTEM OKULU İETT.,B
PİYERLOTİ BÜFE (E),EYÜP,Pazariçi mah.,İdris köşkü cd ile ağaçlı sk kesişimi,B
RAMİ BÜFE (E),EYÜP,Rami Cuma Mah.,Talimhane Cad.Köşesi,B
REYHANİM BÜFE (E),EYÜP,Silahtar ağa mah.,Karadeniz cd tansaş yanı,B
ŞEHİTLİK BÜFE (E),EYÜP,Defterdar mah.,Edirnekapı Rami Cad. Şehitlik,B
TANTAVİ BÜFE (E),EYÜP,Rami yeni mah.,TANTAVİ CAMİİ ÖNÜ.,B
TOPÇULAR BÜFE (E),EYÜP,,ŞEYH RAŞİT CAD.TOPÇULAR İLKÖĞRETİM,B
VEYSEL KARANİ BÜFE,EYÜP,Yeşilpınar mah,Cengiz topel cd,B
YENİ YEŞİLPINAR BÜFE,EYÜP,,YEŞİLPINAR MAH.GİRNE CAD.MÜNÜBÜS,B
YEŞİLPINAR BÜFE,EYÜP,,YEŞİLPINAR MAH.GİRNE CAD.ESKİ MUHTARLIK,B
GÜLER MARKET,EYÜP,EMNİYETTEPE MAH,M FEVZİ ÇAKMAK CD NO 18,S
ESMA CAN BAYİİ (E),EYÜP,DÜĞMECİLER MAH. DÜĞMECİLER CAD. NO.33/C,DÜĞMACİLER MAH. DÜĞMECİLER CAD. NO.33/C,S
GAMZE GIDA,EYÜP,KARADOLAP MAH,KARADOLAP MAH DERMAN SK NO:30,S
İHSAN GIDA,EYÜP,AKŞEMSETTİN MAH,AKŞEMSETTİN MAH.ÖZEN SK.NO:17-B,S
İNCİ MARKET,EYÜP,KARADOLAP,KARADOLAP MAH.ABUHAYAT CAD.NO:44-46A2,S
KANIK MARKET,EYÜP,EMNİYETTEPE MAH,EMNİYETTEPE MAH. MAREŞAL F. ÇAKMAK CD. NO 52/54B EYÜPSULTAN,S
KÖYÜM GIDA,EYÜP,GÖKTÜRK MER.MAH,ÇAMLIK CD.NO 32 EYÜP İSTANBUL,S
SAVAŞÇI MARKET,EYÜP,GÜZELTEPE MAH,SOKULLU CAD.,S
SELHA GIDA,EYÜP,İSLAMBEY MAH.,FAHRİ KORUTÜRK CAD. NO:27,S
ALİ PAŞA BÜFE,FATİH,Seyitömer mah.,Hekimoğlu ali paşa cd,B
CAMCI YOKUŞU BÜFE,FATİH,,SARA AĞA CAD.HASAN FEHMİ PAŞA SOK.NO:1,B
CERRAHPAŞA BÜFE,FATİH,,CERRAHPAŞA CAD.OTOBÜS DURAĞI ARKASI,B
ÇARŞAMBA DURAK BÜFE,FATİH,Koca Dede,Kocadede Mah. Darülşafaka Cd. Kız Meslek Lisesi Önü,B
DERVİŞ ALİ BÜFE,FATİH,Devirşali mah.,Sena park içi,B
DRAMAN BÜFE,FATİH,Derviş Ali,Derviş Ali Mah. Draman Cd. Otobüs Durağı Yanı,B
EMİNÖNÜ MEYDAN BÜFE,FATİH,,RAGIP GÜMÜŞPALA CAD.İ.E.T.T.OTO.DUR.,B
GELENBEVİ BÜFE,FATİH,Sinanağa,Haydar Mah. Karadeniz Cad. No:12,B
